index,element,x,y,z,coordination_number,is_interfacial
526,O,2.347160,5.989609,17.675922,5,0
527,O,21.399309,9.689571,17.799333,6,0
528,O,21.670990,13.807144,17.630507,5,0
529,O,21.576656,17.457666,17.729690,6,0
530,O,2.038340,0.018346,19.659230,4,0
531,O,9.647415,19.400601,19.599633,4,0
532,O,5.913882,3.774034,19.669444,4,0
533,O,5.822844,7.764019,19.198486,4,0
534,O,5.870987,11.770977,19.541427,4,0
535,O,5.788012,15.685988,19.548032,4,0
536,O,13.636013,19.386937,19.543884,4,0
537,O,9.606621,3.928329,19.537734,4,0
538,O,9.618289,7.489776,20.405844,2,1
539,O,9.643222,11.579944,19.469078,4,0
540,O,9.669411,15.542997,19.603789,4,0
541,O,17.603751,19.195993,20.547799,2,1
542,O,13.595044,3.910509,19.477128,4,0
543,O,13.310345,7.949678,20.204579,4,1
544,O,13.716864,11.655900,19.413419,4,0
545,O,13.885728,15.160497,20.204165,3,1
546,O,17.599208,0.258833,19.219727,4,0
547,O,17.886019,4.065170,20.066628,4,1
548,O,17.757469,7.802892,19.466842,4,0
549,O,17.816298,11.847184,19.534538,4,0
550,O,17.738273,15.758045,20.329259,3,1
551,O,2.015050,3.963652,19.477853,4,0
552,O,2.044017,7.863363,19.865305,4,0
553,O,21.599028,11.726440,19.476579,4,0
554,O,21.489455,16.245828,20.532700,2,1
555,O,17.387160,3.572327,35.687489,3,0
556,O,18.688675,10.081783,35.688374,3,0
557,O,19.989774,16.590799,35.688216,3,0
558,O,10.445863,1.404798,35.685587,3,0
559,O,11.746954,7.914087,35.689986,3,0
560,O,13.050701,14.426961,35.685950,3,0
561,O,7.406215,18.758607,35.695471,3,0
562,O,4.802784,5.743173,35.695771,3,0
563,O,6.104595,12.251221,35.695386,3,0
564,O,12.839128,1.557429,35.425548,3,0
565,O,14.140633,8.066352,35.427641,3,0
566,O,15.442507,14.576891,35.425873,3,0
567,O,9.803626,18.919200,35.431465,3,0
568,O,7.199841,5.902923,35.433761,3,0
569,O,8.501929,12.412293,35.431404,3,0
570,O,22.380954,16.737652,35.433419,3,0
571,O,19.777760,3.719468,35.433473,3,0
572,O,21.079302,10.228829,35.433137,3,0
573,O,15.054393,2.984311,34.074153,3,0
574,O,16.356664,9.493729,34.080233,3,0
575,O,17.656116,16.003185,34.074286,3,0
576,O,8.107071,0.827416,34.103223,3,0
577,O,9.405004,7.334234,34.116300,3,0
578,O,10.710672,13.846301,34.102400,3,0
579,O,5.061662,18.168180,34.118658,3,0
580,O,2.457498,5.150848,34.114815,3,0
581,O,3.759829,11.659633,34.112807,3,0
582,O,15.132284,2.394844,36.549491,2,0
583,O,16.434252,8.905503,36.553935,2,0
584,O,17.735238,15.417244,36.549771,2,0
585,O,8.198062,0.218331,36.573365,2,0
586,O,9.498946,6.729288,36.588698,2,0
587,O,10.803244,13.238860,36.572810,2,0
588,O,5.150667,17.578941,36.591300,2,0
589,O,2.547228,4.561441,36.586846,2,0
590,O,3.848965,11.069424,36.584794,2,0
591,O,14.793711,5.839538,34.428304,4,0
592,O,16.095060,12.350041,34.424292,4,0
593,O,17.397242,18.858380,34.403579,4,0
594,O,7.850740,3.657106,34.446981,4,0
595,O,9.151271,10.167124,34.446398,4,0
596,O,10.455344,16.676034,34.440932,4,0
597,O,0.909600,1.493190,34.441370,4,0
598,O,2.211421,8.002428,34.440316,4,0
599,O,3.512241,14.510327,34.442368,4,0
600,O,19.274812,18.889865,36.141345,3,0
601,O,16.680080,5.871709,36.146045,3,0
602,O,17.979541,12.381745,36.146011,3,0
603,O,12.351011,16.728801,36.151575,3,0
604,O,9.746724,3.709631,36.155254,3,0
605,O,11.047404,10.219746,36.153977,3,0
606,O,5.405910,14.560738,36.157140,3,0
607,O,2.801599,1.543046,36.157948,3,0
608,O,4.103961,8.053159,36.156553,3,0
609,O,16.899491,0.856693,34.637702,4,0
610,O,18.202475,7.365228,34.639543,4,0
611,O,19.503389,13.874057,34.640518,4,0
612,O,13.862950,18.229307,34.634844,4,0
613,O,11.256078,5.211890,34.641888,4,0
614,O,12.559472,11.721558,34.639959,4,0
615,O,6.923933,16.067600,34.651304,4,0
616,O,4.320338,3.050046,34.653794,4,0
617,O,5.622540,9.559428,34.650945,4,0
618,O,13.241621,4.506224,36.028742,3,0
619,O,14.544186,11.019380,36.029571,3,0
620,O,15.849792,17.536498,36.027269,3,0
621,O,6.298598,2.347358,36.073905,3,0
622,O,7.599625,8.857574,36.074929,3,0
623,O,8.903270,15.365782,36.069333,3,0
624,O,18.881509,0.185740,36.065612,3,0
625,O,20.184718,6.694385,36.064535,3,0
626,O,21.485591,13.202896,36.066729,3,0
627,O,18.991384,0.046899,32.428988,3,0
628,O,20.293010,6.555133,32.428973,3,0
629,O,21.594488,13.061669,32.428444,3,0
630,O,15.953177,17.402812,32.414441,3,0
631,O,13.349801,4.378126,32.422555,3,0
632,O,14.651365,10.890281,32.423041,3,0
633,O,9.013581,15.242422,32.424086,3,0
634,O,6.409846,2.223144,32.427408,3,0
635,O,7.710250,8.733195,32.427130,3,0
636,O,18.435569,17.562871,31.965924,3,0
637,O,15.833101,4.543982,31.970847,3,0
638,O,17.134350,11.054360,31.971129,3,0
639,O,11.498990,15.407813,31.979512,3,0
640,O,8.896076,2.387270,31.981323,3,0
641,O,10.199169,8.896239,32.014216,3,0
642,O,4.555669,13.219284,32.013256,3,0
643,O,1.953576,0.203545,32.014116,3,0
644,O,3.253535,6.711608,32.011042,3,0
645,O,20.595750,18.873631,30.982002,3,0
646,O,17.990863,5.857029,30.980113,3,0
647,O,19.294224,12.370091,30.979357,3,0
648,O,13.650451,16.729842,30.970918,3,0
649,O,11.048640,3.709243,30.982875,3,0
650,O,12.346008,10.216236,30.985103,3,0
651,O,6.708244,14.560630,30.997414,3,0
652,O,4.107413,1.547650,31.001953,3,0
653,O,5.404831,8.056185,30.999910,3,0
654,O,20.779840,18.168991,33.472617,3,0
655,O,18.177248,5.150900,33.470906,3,0
656,O,19.478434,11.661478,33.471875,3,0
657,O,13.842845,16.015901,33.465287,3,0
658,O,11.239590,2.996322,33.468413,3,0
659,O,12.542603,9.507059,33.471813,3,0
660,O,6.903511,13.858372,33.479609,3,0
661,O,4.300942,0.842397,33.482490,3,0
662,O,5.601467,7.352047,33.481398,3,0
663,O,16.507376,2.217207,31.322163,4,0
664,O,17.805510,8.725622,31.328626,4,0
665,O,19.108405,15.233658,31.324505,4,0
666,O,9.565740,0.064244,31.320389,4,0
667,O,10.867398,6.575698,31.336225,4,0
668,O,12.168394,13.082978,31.326940,4,0
669,O,6.534056,17.424517,31.350691,4,0
670,O,3.930079,4.407909,31.352557,4,0
671,O,5.230259,10.914129,31.333913,4,0
672,O,20.916980,15.367278,33.101217,4,0
673,O,18.315434,2.351783,33.098073,4,0
674,O,19.616708,8.860413,33.098526,4,0
675,O,13.977940,13.211800,33.092017,4,0
676,O,11.374874,0.195425,33.085015,4,0
677,O,12.677890,6.699809,33.098176,4,0
678,O,7.040902,11.054410,33.117708,4,0
679,O,8.346366,17.561968,33.117537,4,0
680,O,5.741392,4.544773,33.124255,4,0
681,O,22.489076,16.809171,31.565691,4,0
682,O,19.886096,3.793457,31.556525,4,0
683,O,21.186943,10.304310,31.557661,4,0
684,O,15.547137,14.652294,31.541317,4,0
685,O,12.945786,1.628949,31.524604,4,0
686,O,14.245353,8.138318,31.554864,4,0
687,O,8.610382,12.498334,31.565571,4,0
688,O,9.913209,19.003730,31.562939,4,0
689,O,7.306969,5.988245,31.574694,4,0
690,O,14.932552,0.797276,32.862378,4,0
691,O,16.235805,7.302232,32.875166,4,0
692,O,17.536466,13.813454,32.870932,4,0
693,O,11.900766,18.165234,32.879862,4,0
694,O,9.297042,5.148204,32.885276,4,0
695,O,10.598044,11.657739,32.883388,4,0
696,O,4.957579,15.997958,32.884845,4,0
697,O,2.353484,2.981137,32.884346,4,0
698,O,3.655498,9.490891,32.882197,4,0
699,O,5.053978,15.990186,29.292287,3,0
700,O,2.451613,2.975848,29.291555,3,0
701,O,3.743135,9.489913,29.280401,3,0
702,O,17.628506,13.810328,29.283932,3,0
703,O,15.036532,0.789829,29.285212,3,0
704,O,16.333719,7.296703,29.285068,3,0
705,O,10.689359,11.665628,29.274147,3,0
706,O,11.996981,18.172153,29.233424,3,0
707,O,9.400573,5.157767,29.289026,3,0
708,O,20.095733,13.974918,28.836153,3,0
709,O,17.501009,0.948686,28.877443,3,0
710,O,18.797012,7.459520,28.889502,3,0
711,O,13.154452,11.820117,28.882097,3,0
712,O,14.471030,18.336922,28.837689,3,0
713,O,11.868150,5.315475,28.873722,3,0
